PublicationID,Name,Abbreviation,AbbreviationISO,ISSN,ISBN,DOI
11163,COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,Comput. Animat. Virtual Worlds,1546-4261,,10.1002/cav.2
11164,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,Comput. Appl. Eng. Educ.,1061-3773,,
11165,COMPUTER COMMUNICATIONS,COMPUT COMMUN,Comput. Commun.,0140-3664,,
11166,COMPUTER,COMPUTER,Computer,0018-9162,,
11167,COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,Comput. Graph. Forum,0167-7055,,
11168,COMPUTER JOURNAL,COMPUT J,Comput. J.,0010-4620,,
11169,COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,Comput. Lang. Syst. Struct.,1477-8424,,
11170,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,Comput. Meth. Programs Biomed.,0169-2607,,
11171,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,Comput. Meth. Appl. Mech. Eng.,0045-7825,,
11172,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,Comput. Methods Biomech. Biomed. Eng.,1025-5842,,10.1080/10255840410001658839
11173,COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,Comput. Music J.,0148-9267,,
11174,COMPUTER NETWORKS-THE INTERNATIONAL JOURNAL OF COMPUTER AND TELECOMMUNICATIONS NETWORKING,COMPUT NETW,Comput. Netw.,1389-1286,,
11175,COMPUTER NETWORKS,COMPUT NETW,Comput. Netw.,1389-1286,,
11176,COMPUTERS AND CONCRETE,COMPUT CONCRETE,Comput. Concr.,1598-8198,,
11177,COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,Comput. Electron. Agric.,0168-1699,,
11178,COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,Comput. Geotech.,0266-352X,,
11179,COMPUTER SCIENCE AND INFORMATION SYSTEMS,COMPUT SCI INF SYST,Comput. Sci. Inf. Syst.,1820-0214,,
11180,COMPUTERS & EDUCATION,COMPUT EDUC,Comput. Educ.,0360-1315,,
11181,COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,Comput. Electr. Eng.,0045-7906,,
11182,COMPUTERS & FLUIDS,COMPUT FLUIDS,Comput. Fluids,0045-7930,,
11183,COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,Comput. Geosci.,0098-3004,,
11184,COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,Comput. Graph.-UK,0097-8493,,
11185,COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,Comput. Biol. Med.,0010-4825,,
11186,COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,Comput. Ind. Eng.,0360-8352,,
11187,COMPUTERS IN INDUSTRY,COMPUT IND,Comput. Ind.,0166-3615,,
11188,COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,Comput. Oper. Res.,0305-0548,,
11189,COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,Comput. Speech Lang.,0885-2308,,
11190,COMPUTERS & SECURITY,COMPUT SECUR,Comput. Secur.,0167-4048,,
11191,COMPUTERS & STRUCTURES,COMPUT STRUCT,Comput. Struct.,0045-7949,,
11192,COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,Comput. Stand. Interfaces,0920-5489,,
11193,COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING,COMPUT SUPP COOP W J,Comput. Support. Coop. Work,0925-9724,,10.1007/s10606-007-9064-1
11194,COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING AND WORK PRACTICES,COMPUT SUPP COOP W J,Comput. Support. Coop. Work,0925-9724,,10.1007/s10606-014-9202-5
11195,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,Comput. Syst. Sci. Eng.,0267-6192,,
11196,COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,Comput. Vis. Image Underst.,1077-3142,,
11197,COMPUTING AND INFORMATICS,COMPUT INFORM,Comput. Inform.,1335-9150,,
11198,COMPUTING,COMPUTING,Computing,0010-485X,,
11199,COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,Comput. Sci. Eng.,1521-9615,,
11200,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,Concurr. Comput.-Pract. Exp.,1532-0626,,
11201,CONNECTION SCIENCE,CONNECT SCI,Connect. Sci.,0954-0091,,
11202,CONSTRAINTS,CONSTRAINTS,Constraints,1383-7133,,
11203,CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,CRYPTOGR COMMUN,Cryptogr. Commun.,1936-2447,,10.1007/s12095-008-0006-7
11204,CRYPTOLOGIA,CRYPTOLOGIA,Cryptologia,0161-1194,,
11205,CURRENT BIOINFORMATICS,CURR BIOINFORM,Curr. Bioinform.,1574-8936,,
11206,CURRENT CANCER DRUG TARGETS,CURR CANCER DRUG TAR,Curr. Cancer Drug Targets,1574-8936,,
