AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
337044,88703,128973
337045,88703,129157
337046,88703,128971
337047,88704,128865
337048,88704,128903
337049,88704,129158
337050,88704,129159
337051,88705,128865
337052,88705,129160
337053,88705,129161
337054,88705,129162
337055,88706,128901
337056,88706,128865
337057,88706,129163
337058,88706,129164
337059,88706,129165
337060,88706,129166
337061,88707,128991
337062,88707,128944
337063,88707,128902
337064,88707,129167
337065,88707,129159
337066,88707,129168
337067,88707,129169
337068,88708,128865
337069,88708,128901
337070,88708,128915
337071,88708,128902
337072,88708,129170
337073,88708,129171
337074,88708,129172
337075,88708,129173
337076,88708,129174
337077,88709,128901
337078,88709,128865
337079,88709,128903
337080,88709,129175
337081,88709,129176
337082,88709,129177
337083,88709,129178
337084,88710,128865
337085,88710,128901
337086,88710,128903
337087,88710,129179
337088,88710,129180
337089,88710,129181
337090,88710,129114
337091,88710,129159
337092,88710,128971
337093,88711,128945
337094,88711,129182
337095,88711,128969
337096,88711,129183
337097,88711,128945
337098,88712,128885
337099,88712,129184
337100,88712,129185
337101,88712,129186
337102,88712,129187
337103,88712,129188
337104,88713,128901
337105,88713,128865
337106,88713,128903
337107,88713,129189
337108,88713,129190
337109,88713,129191
337110,88713,129192
337111,88714,129193
337112,88714,129194
337113,88714,129195
337114,88715,128865
337115,88715,128944
337116,88715,128901
337117,88715,128903
337118,88715,129196
337119,88715,129197
337120,88715,129198
337121,88715,129199
337122,88715,129200
337123,88715,129201
337124,88716,129202
337125,88716,129203
337126,88716,128969
337127,88716,129204
337128,88716,129205
337129,88717,128901
337130,88717,128919
337131,88717,128944
337132,88717,129206
337133,88717,129207
337134,88717,129208
337135,88717,129209
337136,88717,129210
337137,88717,129169
337138,88718,128901
337139,88718,128865
337140,88718,128903
337141,88718,129211
337142,88718,129212
337143,88718,129213
337144,88718,129214
337145,88719,128865
337146,88719,129051
337147,88719,128903
337148,88719,129215
337149,88719,129216
337150,88719,129217
337151,88719,129052
337152,88719,129218
337153,88719,129219
337154,88719,129220
337155,88720,129221
337156,88720,129222
337157,88720,129223
337158,88721,129224
337159,88721,129225
337160,88721,129226
337161,88721,129227
337162,88721,129228
337163,88721,128969
337164,88722,129229
337165,88722,129230
337166,88722,129231
337167,88722,129232
337168,88723,129233
337169,88723,129234
337170,88723,129235
337171,88723,129236
337172,88724,128999
337173,88725,129047
337174,88725,129237
337175,88726,129238
337176,88726,129239
337177,88726,129138
337178,88726,129240
337179,88727,129241
337180,88727,128985
337181,88727,129242
337182,88727,129243
337183,88728,128865
337184,88728,129051
337185,88728,129244
337186,88728,129245
337187,88728,129246
337188,88728,129247
337189,88729,128885
337190,88729,128901
337191,88729,129051
337192,88729,129248
337193,88729,128970
337194,88729,129249
337195,88730,128901
337196,88730,128991
337197,88730,129250
337198,88730,129251
337199,88730,129252
337200,88730,129253
337201,88730,129254
337202,88730,129255
337203,88731,128901
337204,88731,128919
337205,88731,128885
337206,88731,129256
337207,88731,129257
337208,88731,129258
337209,88731,129259
337210,88731,129260
337211,88732,129261
337212,88732,129262
337213,88732,129263
337214,88732,129264
337215,88734,129265
337216,88734,129266
337217,88734,129267
337218,88737,129268
337219,88737,129269
337220,88737,129270
337221,88737,129271
337222,88737,129272
337223,88738,129273
337224,88738,129274
337225,88738,129275
337226,88738,129276
337227,88739,129277
337228,88739,129278
337229,88739,129279
337230,88739,129280
337231,88739,129281
337232,88740,129282
337233,88740,129283
337234,88740,129244
337235,88740,129248
337236,88741,129284
337237,88741,129285
337238,88741,129286
337239,88741,129287
337240,88741,129288
337241,88741,129289
337242,88742,129290
337243,88742,129291
337244,88742,129292
337245,88742,129293
337246,88742,129294
337247,88742,128942
337248,88743,128865
337249,88743,129295
337250,88743,128885
337251,88743,129296
337252,88743,129096
337253,88743,128916
337254,88743,129297
337255,88743,129298
337256,88744,129299
337257,88744,129248
337258,88744,129300
337259,88744,129301
337260,88745,129302
337261,88745,129303
337262,88745,129304
337263,88745,129305
337264,88745,129306
337265,88745,129307
337266,88745,129308
337267,88745,129309
337268,88746,129310
337269,88746,129311
337270,88746,129312
337271,88747,129313
337272,88747,129314
337273,88747,129315
337274,88747,129248
337275,88748,129316
337276,88748,129317
337277,88748,129318
337278,88748,129319
337279,88749,129320
337280,88749,129244
337281,88749,129321
337282,88749,129322
337283,88750,129323
337284,88750,129324
337285,88750,129325
337286,88750,129326
337287,88750,129327
337288,88751,129328
337289,88751,129329
337290,88751,129330
337291,88752,129331
337292,88752,129320
337293,88752,129332
337294,88752,129333
337295,88753,129334
337296,88753,129248
337297,88753,129335
337298,88753,129282
337299,88753,129336
337300,88753,129337
337301,88753,129326
337302,88754,129338
337303,88754,129339
337304,88754,129340
337305,88754,129341
337306,88755,129342
337307,88755,129343
337308,88755,129344
337309,88755,129345
337310,88756,129248
337311,88756,129320
337312,88756,129346
337313,88756,129347
337314,88757,129348
337315,88757,128888
337316,88757,129349
337317,88757,129350
337318,88758,129248
337319,88758,129351
337320,88758,129299
337321,88758,129301
